Id,SalePrice
1461,129272.0
1462,150229.25
1463,183112.8
1464,183902.73
1465,213321.93
1466,180523.72
1467,164228.52
1468,172635.24
1469,181266.5
1470,125825.0
1471,193270.58
1472,92098.93
1473,94520.0
1474,153485.9
1475,148221.85
1476,400018.22
1477,259054.68
1478,287232.41
1479,256934.68
1480,452719.9
1481,312772.14
1482,210392.84
1483,175139.71
1484,179315.33
1485,174534.78
1486,197500.37
1487,345238.62
1488,241604.72
1489,210658.77
1490,196939.87
1491,191207.95
1492,103102.05
1493,175351.5
1494,312867.7
1495,297292.75
1496,220736.42
1497,190964.17
1498,154401.17
1499,153400.76
1500,151611.04
1501,176652.32
1502,166648.61
1503,319842.98
1504,230702.24
1505,210348.88
1506,178140.72
1507,212678.5
1508,196105.88
1509,163951.82
1510,152065.5
1511,152350.74
1512,168565.84
1513,146693.88
1514,162882.14
1515,168371.0
1516,169981.38
1517,155246.39
1518,123649.81
1519,226424.34
1520,139957.75
1521,143919.0
1522,159234.82
1523,113213.54
1524,126377.59
1525,128647.66
1526,127863.0
1527,103962.73
1528,126875.34
1529,141086.0
1530,162832.49
1531,134865.18
1532,106407.3
1533,144711.5
1534,117263.58
1535,157245.95
1536,120593.78
1537,78293.93
1538,186102.18
1539,240824.72
1540,109798.75
1541,144292.68
1542,140820.4
1543,225427.83
1544,83777.72
1545,103156.33
1546,121839.5
1547,144664.34
1548,135595.13
1549,108825.0
1550,139506.32
1551,121924.74
1552,148582.0
1553,143437.79
1554,111653.4
1555,174249.24
1556,100595.04
1557,130474.98
1558,97664.43
1559,121703.58
1560,154799.75
1561,150394.83
1562,125278.3
1563,125149.5
1564,158968.31
1565,152408.5
1566,213462.02
1567,82546.86
1568,222346.5
1569,156806.21
1570,120944.58
1571,130999.5
1572,145910.5
1573,235696.96
1574,110977.23
1575,210785.02
1576,216772.68
1577,207124.92
1578,150398.33
1579,142246.2
1580,189876.9
1581,138359.25
1582,128347.5
1583,322211.15
1584,233212.7
1585,140221.0
1586,77243.61
1587,104669.4
1588,145982.84
1589,105408.93
1590,138576.5
1591,106819.6
1592,133955.57
1593,119121.4
1594,126426.53
1595,122932.82
1596,232469.09
1597,163497.07
1598,186644.05
1599,234149.93
1600,214153.01
1601,81670.83
1602,113209.18
1603,94428.51
1604,288354.95
1605,251842.54
1606,168379.0
1607,164778.04
1608,214958.5
1609,201121.08
1610,160832.19
1611,150560.57
1612,163595.32
1613,163066.46
1614,122929.75
1615,86079.5
1616,80149.86
1617,87467.0
1618,126735.66
1619,132588.24
1620,145647.57
1621,134114.06
1622,145979.67
1623,288306.3
1624,221698.92
1625,133497.5
1626,171230.5
1627,191993.41
1628,282780.09
1629,176003.5
1630,364951.2
1631,217824.78
1632,241738.91
1633,169585.87
1634,184101.0
1635,176795.16
1636,156710.51
1637,185201.9
1638,227592.25
1639,180121.24
1640,252311.35
1641,188209.74
1642,221258.75
1643,227796.46
1644,227609.15
1645,185829.06
1646,157331.32
1647,157507.0
1648,143218.08
1649,139647.37
1650,122981.6
1651,124686.64
1652,94230.0
1653,95780.0
1654,157605.5
1655,157059.95
1656,152573.9
1657,153821.0
1658,155031.0
1659,144531.85
1660,145803.5
1661,434945.49
1662,381476.46
1663,372995.6
1664,437304.0
1665,294747.85
1666,336791.48
1667,385968.18
1668,313232.71
1669,292499.0
1670,329735.15
1671,263238.46
1672,452709.97
1673,296010.63
1674,254503.36
1675,179422.49
1676,177968.63
